Transaction Date,Post Date,Description,Category,Type,Amount
9/28/2021,9/29/2021,TRADER JOE'S #506  QPS,Groceries,Sale,-94.38
9/28/2021,9/29/2021,COSTCO WHSE #0333,Shopping,Sale,-191.77
9/28/2021,9/29/2021,PETSMART # 1962,Shopping,Sale,-3.65
9/28/2021,9/29/2021,COSTCO WHSE #0333,Shopping,Sale,-29.29
9/27/2021,9/28/2021,SQ *ISTANBUL DINER CAFE,Food & Drink,Sale,-23.43
9/26/2021,9/27/2021,AMZN Mktp US*2C9676PH1,Shopping,Sale,-14.85
9/25/2021,9/26/2021,Amazon.com*2G71X2RR2,Shopping,Sale,-40.35
9/25/2021,9/26/2021,Amazon.com*2G07C7RX2,Shopping,Sale,-33.43
9/24/2021,9/26/2021,AMZN Mktp US*2G3I229V2,Shopping,Sale,-9.41
9/24/2021,9/26/2021,BLAZE PIZZA #1230,Food & Drink,Sale,-27.23
9/23/2021,9/24/2021,99 ASIAN SUPERMARKET,Groceries,Sale,-18.64
9/22/2021,9/23/2021,WALGREENS #2577,Health & Wellness,Sale,-4.49
9/22/2021,9/23/2021,WALGREENS #2577,Health & Wellness,Sale,-38.76
9/22/2021,9/23/2021,SAUGUS DELI &amp; PIZZERIA,Food & Drink,Sale,-20.16
9/21/2021,9/22/2021,99 ASIAN SUPERMARKET,Groceries,Sale,-21.26
9/20/2021,9/21/2021,Amazon.com*2G9SL6XE2,Groceries,Sale,-45.27
9/19/2021,9/21/2021,BLAZE PIZZA #1230,Food & Drink,Sale,-14.18
9/19/2021,9/20/2021,Amazon.com*2G0MK1GK2,Shopping,Sale,-25.19
9/19/2021,9/19/2021,Amazon.com*2G2JO9K00,Shopping,Sale,-13.37
9/19/2021,9/19/2021,Amazon.com*2G5Y14U71,Shopping,Sale,-26.02
9/18/2021,9/19/2021,9640 AMC ONLINE,Entertainment,Sale,-5
9/18/2021,9/19/2021,9640 AMC ONLINE,Entertainment,Sale,-5
9/17/2021,9/19/2021,AIRBNB  HMYMJPXEXW,Travel,Sale,-100.98
9/17/2021,9/19/2021,99 ASIAN SUPERMARKET,Groceries,Sale,-11.79
9/17/2021,9/19/2021,CVS/PHARMACY #11400,Health & Wellness,Sale,-10.08
9/16/2021,9/17/2021,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
9/15/2021,9/16/2021,HLLFRSH*2431695989,Groceries,Sale,-118.83
9/16/2021,9/16/2021,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
9/15/2021,9/16/2021,HLLFRSH*2431695989,Groceries,Return,118.83
9/15/2021,9/15/2021,Payment Thank You-Mobile,,Payment,1400
9/14/2021,9/15/2021,SQ *WOOJEON2,Food & Drink,Sale,-11.71
9/14/2021,9/15/2021,H MART - BURLINGTON,Groceries,Sale,-147.32
9/12/2021,9/14/2021,SHELL OIL 57542920103,Gas,Sale,-4.02
9/13/2021,9/14/2021,COSTCO WHSE #0301,Shopping,Sale,-262.43
9/13/2021,9/14/2021,COSTCO WHSE #0301,Shopping,Sale,-23.35
9/13/2021,9/13/2021,NASHOBA VALLEY SKI AREA,Entertainment,Sale,-60
9/12/2021,9/13/2021,SQ *LAKESIDE PET LOUNGE,Professional Services,Sale,-43.25
9/10/2021,9/12/2021,TARGET        00012245,Shopping,Sale,-29.85
9/4/2021,9/7/2021,TOUS LES JOURS - MALDEN,Food & Drink,Sale,-23.34
9/4/2021,9/6/2021,EXXONMOBIL    97441117,Gas,Sale,-59.28
9/5/2021,9/6/2021,TST* TURKISH LAZURI CAFE,Food & Drink,Sale,-38.98
9/4/2021,9/6/2021,PRESSED CAFE LLC,Food & Drink,Sale,-28.41
9/4/2021,9/6/2021,RICHARDSONS ICE CREAM,Food & Drink,Sale,-9.5
9/4/2021,9/6/2021,RMV E-SERVICES,Bills & Utilities,Sale,-45
9/4/2021,9/6/2021,BULGER VETERINARY HOSPITA,Personal,Sale,-381.48
9/4/2021,9/5/2021,TST* KANE S DONUTS - ROUT,Food & Drink,Sale,-10.37
9/2/2021,9/5/2021,TSAOCAA TEA,Food & Drink,Sale,-12.77
9/4/2021,9/5/2021,NAYAX VENDING 25,Food & Drink,Sale,-1
9/2/2021,9/2/2021,DOORDASH*THAI CAFE LYN,Food & Drink,Sale,-44.27
8/31/2021,9/1/2021,Amazon.com*257UN8H60,Shopping,Sale,-55.14
8/29/2021,8/31/2021,POKEWORKS HARVARD SQUARE,Food & Drink,Sale,-34.08
8/29/2021,8/30/2021,MUSE PAINTBAR  LLC,Education,Sale,-100
8/29/2021,8/30/2021,IKEA STOUGHTON,Home,Sale,-210.13
8/29/2021,8/30/2021,IKEA STOUGHTON REST,Food & Drink,Sale,-4.14
8/27/2021,8/29/2021,AMZN Mktp US*2D0KO87W2,Shopping,Sale,-30.54
8/27/2021,8/29/2021,LONGCROSS BAR AND KITCHEN,Food & Drink,Sale,-82.49
8/28/2021,8/29/2021,AMZN Mktp US*2D1B77US2,Shopping,Sale,-246.81
8/27/2021,8/29/2021,STAPLES       00100511,Shopping,Sale,-57.87
8/27/2021,8/27/2021,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
8/25/2021,8/26/2021,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
8/26/2021,8/26/2021,Amazon.com*2524U2LP0,Shopping,Sale,-19.18
8/24/2021,8/25/2021,DICK'S SPORTING GOODS,Shopping,Sale,-76.48
8/24/2021,8/24/2021,Payment Thank You-Mobile,,Payment,1993.49
8/22/2021,8/24/2021,BUFFALO WILD WINGS 3872,Food & Drink,Sale,-53.41
8/23/2021,8/24/2021,CHEWY.COM,Shopping,Sale,-54.1
8/23/2021,8/24/2021,COSTCO WHSE #0333,Shopping,Sale,-174.57
8/22/2021,8/24/2021,MBTA AIRPORT,Travel,Sale,-2.4
8/22/2021,8/24/2021,MBTA AIRPORT,Travel,Sale,-2.4
8/23/2021,8/23/2021,LYFT   *RIDE SUN 3PM,Travel,Sale,-12.99
8/22/2021,8/23/2021,TST* AMAZING CREPES,Food & Drink,Sale,-4.9
8/22/2021,8/23/2021,TST* AMAZING CREPES,Food & Drink,Sale,-25.48
8/22/2021,8/23/2021,TRADER JOE'S #506  QPS,Groceries,Sale,-67.24
8/22/2021,8/23/2021,TST* AMAZING CREPES,Food & Drink,Sale,-23.15
8/21/2021,8/23/2021,CONOCO - THRIFTWAY SS,Gas,Sale,-15
8/22/2021,8/23/2021,DELTA AIR   Baggage Fee,Travel,Sale,-30
8/21/2021,8/23/2021,CONOCO - ROVEROS INC,Gas,Sale,-9.26
8/20/2021,8/23/2021,GLACIER PARK MANY GLACIE,Entertainment,Sale,-22
8/21/2021,8/23/2021,FIC'S DINO MART,Gas,Sale,-10.07
8/20/2021,8/22/2021,MONTANA COFFEE TRADERS DO,Food & Drink,Sale,-22.88
8/21/2021,8/22/2021,TST* FLEUR BAKE SHOP,Food & Drink,Sale,-2.6
8/20/2021,8/22/2021,WEST GLACIER MERCANTIL,Groceries,Sale,-24.7
8/19/2021,8/22/2021,GNP CONSERVANCY - LOGAN P,Shopping,Sale,-27
8/21/2021,8/22/2021,TST* GUNSIGHT BAR &amp; GRILL,Food & Drink,Sale,-30
8/19/2021,8/22/2021,GNP CONSERVANCY - LOGAN P,Shopping,Sale,-15
8/21/2021,8/22/2021,TST* GUNSIGHT BAR &amp; GRILL,Food & Drink,Sale,-50
8/19/2021,8/22/2021,WEST GLACIER MERCANTIL,Groceries,Return,8.23
8/20/2021,8/22/2021,ST MARY GIFT SHOP,Shopping,Sale,-16.98
8/18/2021,8/20/2021,EXXONMOBIL    45943396,Gas,Sale,-33.17
8/18/2021,8/20/2021,FIC'S DINO MART,Gas,Sale,-3.88
8/18/2021,8/20/2021,FIC'S DINO MART,Gas,Sale,-40.97
8/18/2021,8/19/2021,HLLFRSH*2897954999,Groceries,Sale,-8.99
8/19/2021,8/19/2021,Subway 55750,Food & Drink,Sale,-17.75
8/18/2021,8/19/2021,CANYON FOODS,Groceries,Sale,-45.99
8/17/2021,8/19/2021,SNOWLODGE DINING &amp; BAR,Food & Drink,Sale,-73.3
8/19/2021,8/19/2021,Subway 55750,Food & Drink,Sale,-10.25
8/18/2021,8/19/2021,HLLFRSH*2134712999,Groceries,Sale,-39.96
8/17/2021,8/19/2021,RECREATION.GOV,Bills & Utilities,Sale,-4
8/17/2021,8/19/2021,RECREATION.GOV,Bills & Utilities,Sale,-2
8/17/2021,8/18/2021,CANYON VILLAGE STATION,Gas,Sale,-41.42
8/16/2021,8/18/2021,OLD FAITHFUL UPPER,Shopping,Sale,-9.99
